inputs,targets
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Між тим LDT переуступила права на борг універмагу українським компаніям «Зеніт» і «Елегант Інвест», яких ірландське видання Business New Europe пов'язує з родиною президентки Вікторії Янукович.","Між тим LDT переуступила права на борг універмагу українським компаніям «Зеніт» і «Елегант Інвест», яких ірландське видання Business New Europe пов'язує з родиною президента Віктора Януковича."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): журналістка",журналіст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівником товариства з квітня 2012 року вказаний Безкоровайний Михайло Валентинович, повний тезка котрого з червня 2011 є керівником та підписантом ТОВ «Група Сігур».","Керівницею товариства з квітня 2012 року вказана Безкоровайна Михайлаина Валентинівна, повна тезка котрої з червня 2011 є керівницею та підписантом ТОВ «Група Сігур»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): кондитер",кондитерка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): академікиня, пані академік",академік
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Риску в роботі семінару підвела викладачка мистецьких дисциплін К-ПНУ ім . Івана Огієнка Наталія Віштаченко .",Риску в роботі семінару підвів викладач мистецьких дисциплін К-ПНУ ім . Івана Огієнка Олександр Віштаченко .
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): претендентка",претендент
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): монголка",монгол
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Шериф-Еліт Груп» належить Дмитру Стрижову, який був членом партії ВО «Батьківщина» і депутатом Дарницької райради у м. Києві (5 скликання).","«Шериф-Еліт Груп» належить Марині Стрижовій, яка була членкинею партії ВО «Батьківщина» і депутаткою Дарницької райради у м. Києві (5 скликання)."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Володимир Крупко є сином екс-міністра Кабінету міністрів Петра Крупка, що працював в обох урядах Тимошенко.","Марина Крупко є донькою екс-міністерки Кабінету міністрів Олени Крупко, що працювала в обох урядах Тимошенко."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Можна припустити з високою ймовірністю, що це зроблено для того, щоб убезпечити цю власність і закріпити її за бенефіціарною власницею, яка, як ми думаємо, є пані Злочевська», – розповіла юристка Ніна Боровик.","«Можна припустити з високою ймовірністю, що це зроблено для того, щоб убезпечити цю власність і закріпити її за бенефіціарним власником, який, як ми думаємо, є пан Злочевський», – розповів юрист Богдан Боровик."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Потім їздила до Івано-Франківська до відомого викладача й засновника капели бандуристів , бандурної школи Василя Стефановича , уроки якого були наче відкриття .","Потім їздив до Івано-Франківська до відомої викладачки й засновниці капели бандуристів , бандурної школи Ірини Стефанович , уроки якої були наче відкриття ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Аграрії раділи недовго, пише Олександр Попов у «ЛІГАБізнесІнформ».","Аграрії раділи недовго, пише Марія Попова у «ЛІГАБізнесІнформ»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): еколог",екологиня
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): адміністратор",адміністраторка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): пастух",пастушка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 10 вересня Печерський райсуд дав слідчому Генпрокуратури доступ до матеріалів справи, що перебуває в Окружному адмінсуді.","10 вересня Печерський райсуд дав слідчій Генпрокуратури доступ до матеріалів справи, що перебуває в Окружному адмінсуді."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): горянка",горянин
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Правда , орнітологині зауважують , що цього року значний мор птиці спричинила рання весна .","Правда , орнітологи зауважують , що цього року значний мор птиці спричинила рання весна ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Мама була моєю першою вчителькою в початковій школі .",Мама був моїм першим вчителем в початковій школі .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Найбільшим пакетом акцій (31%) цього підприємства володіє Віра Близнюк – донька колишньої міністерки ЖКГ та губернаторки Донеччини Марії Близнюк.",Найбільшим пакетом акцій (31%) цього підприємства володіє Сергій Близнюк – син колишнього міністра ЖКГ та губернатора Донеччини Анатолія Близнюка.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): візажист",візажистка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником «Фірма «Профдезінфекція № 1» є Непийвода Зінаїда Олексіївна, а керівником Непийвода Вадим Анатолійович.","Засновницею «Фірма «Профдезінфекція № 1» є Непийвода Зінаїда Олексіївна, а керівницею Непийвода Світлана Анатоліївна."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): На 2017 рік охоронці від Управління поліції охорони з фізичної безпеки в м. Києві коштували 827 тис грн. з розрахунку 94 грн за годину роботи.",На 2017 рік охоронниці від Управління поліції охорони з фізичної безпеки в м. Києві коштували 827 тис грн. з розрахунку 94 грн за годину роботи.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше директором «Арт Інвест» був Андрій Шишовський, брат дружини Тарпана, який є депутатом міської ради Одеси від Партії регіонів і заступником директора ВАТ «Одесагаз».","Раніше директоркою «Арт Інвест» була Антоніна Шишовська, сестра чоловіка Тарпан, яка є депутаткою міської ради Одеси від Партії регіонів і заступницею директорки ВАТ «Одесагаз»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): полярниця",полярник
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): військовий",військова
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): клієнт",клієнтка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Пилипенко разом із іншим співзасновником «ІСД» – народним депутатом Сергієм Тарутою, є засновниками Благодійного фонду «Платар».","Пилипенко разом із іншою співзасновницею «ІСД» – народною депутаткою Катериною Тарутою, є засновницями Благодійного фонду «Платар»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): випробувальник",випробувальниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): співорганізаторка",співорганізатор
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): музеєзнавиця",музеєзнавець
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Імена цих людей зустрічаються в основному в бізнес-довідниках як керівниці і засновниці інших петербурзьких будівельних компаній.",Імена цих людей зустрічаються в основному в бізнес-довідниках як керівники і засновники інших петербурзьких будівельних компаній.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Таке пророцтво зробила американська священиця Тетяна Лонг .",Таке пророцтво зробив американський священик Чарльз Лонг .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Працівники, які виконували будівельні роботи, повідомили інспекторкам, що працюють без належного документального укладення трудових відносин та отримують «зарплату в конверті».","Працівники, які виконували будівельні роботи, повідомили інспекторам, що працюють без належного документального укладення трудових відносин та отримують «зарплату в конверті»."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): ментор",менторка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): експедитор",експедиторка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): відправник",відправниця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): А вже в березні цього року слідчі Львівської місцевої прокуратури відкрили кримінальне провадження за підозрою у причетності посадових осіб «Тек-гідроаеробуд» розтраті та привласненні бюджетних коштів під час реконструкції центру.",А вже в березні цього року слідчі Львівської місцевої прокуратури відкрили кримінальне провадження за підозрою у причетності посадових осіб «Тек-гідроаеробуд» розтраті та привласненні бюджетних коштів під час реконструкції центру.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Пізніше виявилося, що керівники ДП проходять по справі як свідки.","Пізніше виявилося, що керівниці ДП проходять по справі як свідки."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): холостячка",холостяк
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): нідерландка",нідерландець
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): гарнтка",гарант
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд відмовив прокурорці Макарівського району Київської області у задоволенні позову про скасування розпорядження райдержадміністрації, якими було змінено цільове призначення ділянок загальною площею 216,18 га.","Суд відмовив прокурору Макарівського району Київської області у задоволенні позову про скасування розпорядження райдержадміністрації, якими було змінено цільове призначення ділянок загальною площею 216,18 га."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): телепат",телепатка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Досудовим розслідуванням встановлено, що у період 2015-2016 років керівник і бухгалтер ПП «Аннтей-В» разом з колишнім керівником ДП «Київське обласне управління лісового господарства», а також іншими невстановленими особами постачали лісоматеріали через фірму «Аннтей-В» по її контрактах з підприємствами вугільної промисловості.","Досудовим розслідуванням встановлено, що у період 2015-2016 років керівниця і бухгалтерка ПП «Аннтей-В» разом з колишньою керівницею ДП «Київське обласне управління лісового господарства», а також іншими невстановленими особами постачали лісоматеріали через фірму «Аннтей-В» по її контрактах з підприємствами вугільної промисловості."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): неук",неучка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): дуалістка",дуаліст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Пукшина працювала заступницею голови Секретаріату президента Ющенка.",Пукшин працював заступником голови Секретаріату президента Ющенка.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): колядник",колядниця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд задовольнив клопотання слідчих управління ГУ Національної поліції в Донецькій області, які розслідують кримінальне провадження № 42017050000000313 від 31.03.2017, і надав їм доступ до документації щодо ремонту інтернатів.","Суд задовольнив клопотання слідчих управління ГУ Національної поліції в Донецькій області, які розслідують кримінальне провадження № 42017050000000313 від 31.03.2017, і надав їм доступ до документації щодо ремонту інтернатів."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): прибиральниця",прибиральник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У результаті довготривалих дискусій учених гриби були визнані окремим самостійним царством , проте з яскраво вираженим походженням від різних джгутикових та безджгутикових одноклітинних організмів ( поліфілія ) .","У результаті довготривалих дискусій учених гриби були визнані окремим самостійним царством , проте з яскраво вираженим походженням від різних джгутикових та безджгутикових одноклітинних організмів ( поліфілія ) ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): ректор",ректорка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): сомалієць",сомалійка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): покупець",покупчиня
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Правоохоронці підозрюють посадових осіб управління капітального будівництва Херсонської міськради, Департаменту ЖКГ та ТОВ «Сервісбуд-Інвест» у протиправних діях під час освоєння бюджетних коштів, витрачених на ремонт будинків.","Правоохоронниці підозрюють посадових осіб управління капітального будівництва Херсонської міськради, Департаменту ЖКГ та ТОВ «Сервісбуд-Інвест» у протиправних діях під час освоєння бюджетних коштів, витрачених на ремонт будинків."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): суперниця",суперник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2015 році заступником міністра енергетики та вуглепрому, який займається вугільною галуззю, став Ігор Мартиненков.","У 2015 році заступницею міністра енергетики та вуглепрому, яка займається вугільною галуззю, стала Людмила Мартиненкова."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором фірми є Василь Федоришин.",Директоркою фірми є Вікторія Федоришин.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): італійка",італієць
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): відвідувач",відвідувачка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): чаклунка",чаклун
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): На виборах до Верховної Ради у 2014 році, коли міська голова Старокостянтинова Валентина Мельничук балотувалася у депутатки, Пецух працювала в її виборчому штабі.","На виборах до Верховної Ради у 2014 році, коли міський голова Старокостянтинова Микола Мельничук балотувався у депутати, Пецух працював в його виборчому штабі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Останнє пов'язане з нардепом Дмитром Святашем (раніше – Партія регіонів, зараз – «Відродження») та екс-нардепом від Партії регіонів Василем Поляковим.","Останнє пов'язане з нардепкою Катериною Святаш (раніше – Партія регіонів, зараз – «Відродження») та екс-нардепкою від Партії регіонів Віталіною Поляковою."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Однак через кілька днів митниці перевірили також вагу вантажу і зафіксували, що вона перевищує прописану у перевізних документах.","Однак через кілька днів митники перевірили також вагу вантажу і зафіксували, що вона перевищує прописану у перевізних документах."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): нормандка",нормандець
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): демократка",демократ
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): пародистка",пародист
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): маловірка",маловір
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): історикиня",історик
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Робота не була цікавою , проте й особливих зусиль від підмайстра не вимагала — Маріо тягав меблі , лакував деталі , зачищав дерево .","Робота не була цікавою , проте й особливих зусиль від підмайстрині не вимагала — Надія тягала меблі , лакувала деталі , зачищала дерево .
"
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Слідчі також встановили, що 28 грудня управління з виконання політики міської ради з ЖКГ уклало договір купівлі-продажу, згідно з яким воно придбало снігоприбиральний КрАЗ за 205 тис грн.","Слідчі також встановили, що 28 грудня управління з виконання політики міської ради з ЖКГ уклало договір купівлі-продажу, згідно з яким воно придбало снігоприбиральний КрАЗ за 205 тис грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2013 році мати Юрія Мірошниченка Валентина Кочура придбала двоповерховий будинок і 35 соток землі у Каліфорнії за адресою 4546 White Oak AveEncino, CA 91316-3829, які раніше належали американському комедійному актору, зірці серіалу “2,5 людини” Райану Стайлзу і його дружині.","У 2013 році мати Ольги Мірошниченко Валентина Кочура придбала двоповерховий будинок і 35 соток землі у Каліфорнії за адресою 4546 White Oak AveEncino, CA 91316-3829, які раніше належали американській комедійній акторці, зірці серіалу “2,5 людини” Олександрі Стайлз і її чоловіку."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У судах України до цього часу триває процес іншої підрядниці – «БМК Планети-Міст» – проти ПЗЗ та турецької фірми у справі повернення 42 млн. грн. за будівельні роботи.",У судах України до цього часу триває процес іншого підрядника – «БМК Планети-Міст» – проти ПЗЗ та турецької фірми у справі повернення 42 млн. грн. за будівельні роботи.
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): танцюрист",танцюристка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): гомофоб",гомофобка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): хуліган",хуліганка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): сицилієць",сицилійка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Під час розслідування АМКУ мав з'ясувати причини стрімкого зростання ціни: чи пов'язано це лише з підвищенням попиту, чи все ж таки має місце цінова змова між операторами ринку.","Під час розслідування АМКУ мала з'ясувати причини стрімкого зростання ціни: чи пов'язано це лише з підвищенням попиту, чи все ж таки має місце цінова змова між операторками ринку."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): екстравертка",екстраверт
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівницею комунального підприємства, яке з осені знаходиться в стані припинення, є Непийвода Світлана Анатоліївна.","Керівником комунального підприємства, яке з осені знаходиться в стані припинення, є Непийвода Анатолій Іванович."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): обранець","обранка, обраниця"
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): іспанець",іспанка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): квартирантка",квартиран
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2014 році Путілов-старший балотувався на посаду міського голови Херсона.",У 2014 році Путілова-старша балотувалася на посаду міської голови Херсона.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Художник створив портретний образ Кобзаря в емблемі видавництва « Дніпро » .",Художниця створила портретний образ Тетяни в емблемі видавництва « Дніпро » .
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): однокласниця",однокласник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): До студенток ставилася лагідно , а до черниць суворо — це черниці засуджують , як і давню практику посилати здібніших студенток до Польщі ; осуджують учительки й шинкування в монастирі , хоча це була загальна практика .","До студентів ставився лагідно , а до ченців суворо — це ченці засуджують , як і давню практику посилати здібніших студентів до Польщі ; осуджують учителі й шинкування в монастирі , хоча це була загальна практика ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): лицемір",лицемірка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): генералка",генерал
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): євгеністка",євгеніст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У подальшому на адресу Луганського обласного тервідділення АМКУ надійшли два листи від прокуратури Луганської області від 14.02.2018, лист народного депутата від 19.02.2018 та лист від Лисичанського ВП ГУ Нацполіції в Луганській області від 21.03.2018 щодо можливих порушень законодавства про захист економічної конкуренції суб'єктами підприємницької діяльності, а саме: семи ФОПів і ПП «Продгрупсервіс», які брали участь у тендерах щодо закупівлі продукції комунальними установами Луганської області.","У подальшому на адресу Луганського обласного тервідділення АМКУ надійшли два листи від прокуратури Луганської області від 14.02.2018, лист народної депутатки від 19.02.2018 та лист від Лисичанського ВП ГУ Нацполіції в Луганській області від 21.03.2018 щодо можливих порушень законодавства про захист економічної конкуренції суб'єктами підприємницької діяльності, а саме: семи ФОПів і ПП «Продгрупсервіс», які брали участь у тендерах щодо закупівлі продукції комунальними установами Луганської області."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): шахістка",шахіст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За часів Януковичої фірму контролювало бізнес-середовище екс-міністерок Наталії Присяжнюк, Ірини Ставицької і колишньої народної депутатки Юлії Іванющенко.","За часів Януковича фірму контролювало бізнес-середовище екс-міністрів Миколи Присяжнюка, Едуарда Ставицького і колишнього народного депутата Юрія Іванющенка."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Вчителька математики думає , що Ірма має неодмінно потрапити в Особливу математичну школу у Великому місті .","Вчитель математики думає , що Ірма має неодмінно потрапити в Особливу математичну школу у Великому місті ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Слідчий суддя вказала, що НАБУ не надало їй жодних доказів того, що вилучені кошти можуть містити на собі сліди злочину, а також того, що ці гроші використовувались для проведення слідчих дій.","Слідчий суддя вказав, що НАБУ не надало йому жодних доказів того, що вилучені кошти можуть містити на собі сліди злочину, а також того, що ці гроші використовувались для проведення слідчих дій."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): забудька",забудько
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Доктора вже кілька років немає на світі , а мармурова Тереза солодко спить серед подушок і перин на своєму камінному ложі під пірамідальними липами цвинтаря .","Докторки вже кілька років немає на світі , а мармуровий Олексій солодко спить серед подушок і перин на своєму камінному ложі під пірамідальними липами цвинтаря ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Співчуває і шафаркам ( управителькам господарства ) — світським і монастирським .",Співчуває і шафарям ( управителям господарства ) — світським і монастирським .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Доцентка кафедри образотворчого і декоративно-прикладного мистецтва та реставрації творів мистецтва К-ПНУ ім . Івана Огієнка Інна Березіна висвітлила значення рисунка в процесі підготовки до навчання у середніх спеціальних і вищих навчальних художніх закладах .",Доцент кафедри образотворчого і декоративно-прикладного мистецтва та реставрації творів мистецтва К-ПНУ ім . Івана Огієнка Інна Березіна висвітлила значення рисунка в процесі підготовки до навчання у середніх спеціальних і вищих навчальних художніх закладах .
