Оригінальне речення,Змінене речення,Анотації,Коректність речення,Виправлене речення,Помічник/ця
"Під конфліктом інтересів Мін'юст має на увазі те, що Загребельська в 2014-2015 роках працювала першим заступником голови Державної виконавчої служби.","Під конфліктом інтересів Мін'юст має на увазі те, що Георгій в 2014-2015 роках працював першою заступницею голови Державної виконавчої служби.","{'Загребельська': 'PERS', 'першим заступником голови': 'JOB'}",Містить помилки,"Під конфліктом інтересів Мін'юст має на увазі те, що Загребельський в 2014-2015 роках працював першим заступником голови Державної виконавчої служби.",
"Але справа в тому, що йдуть певні процедури – і гроші трохи пізніше прийшли, тому й закупівлі проходять у цей період», – заявив начальник управління масових і спортивних заходів департаменту громадської безпеки МВС України Олег Матвейцов на брифінгу.","Але справа в тому, що йдуть певні процедури – і гроші трохи пізніше прийшли, тому й закупівлі проходять у цей період», – заявила начальниця управління масових і спортивних заходів департаменту громадської безпеки МВС України Ольга Матвейцова на брифінгу.","{'начальник управління масових і спортивних заходів департаменту громадської безпеки': 'JOB', 'Олег Матвейцов': 'PERS'}",Правильне,,
Необхідність додаткових робіт підтверджена попереджувальним листом генпідрядника «СМУ № 24» та листом генпроектувальника ТОВ «Трио» (м. Сімферополь).,Необхідність додаткових робіт підтверджена попереджувальним листом генпідрядниці «СМУ № 24» та листом генпроектувальника ТОВ «Трио» (м. Сімферополь).,{'генпідрядника': 'JOB'},Містить помилки,Необхідність додаткових робіт підтверджена попереджувальним листом генпідрядниці «СМУ № 24» та листом генпроектувальниці ТОВ «Трио» (м. Сімферополь).,
"Нормативною підставою перезатвердження технічних та економічних показників відносно початкового проекту в установленому порядку, є позитивний експертний звіт по відкоригованому робочому проекту «Газопровід-відвід до м. Снігурівка», затверджений директором філії ДП «Укрдержбудекспертиза» у Миколаївській області Васильєвою Т. І. Сутність існування умов, та відповідно рекомендації, що договір може бути укладеним з попереднім виконавцем цих робіт – ПАТ «Спеціалізоване монтажне управління № 24», якщо роботи технічно чи економічно пов'язані з головним договором, наголошено у експертно-технічній довідці директора галузевого експертно-технічного Центру в нафтогазовій галузі (ДП «Центр сертифікації») Кисельовим В. І.","Нормативною підставою перезатвердження технічних та економічних показників відносно початкового проекту в установленому порядку, є позитивний експертний звіт по відкоригованому робочому проекту «Газопровід-відвід до м. Снігурівка», затверджений директоркою філії ДП «Укрдержбудекспертиза» у Миколаївській області Васильовою Т. І. Сутність існування умов, та відповідно рекомендації, що договір може бути укладеним з попереднім виконавцем цих робіт – ПАТ «Спеціалізоване монтажне управління № 24», якщо роботи технічно чи економічно пов'язані з головним договором, наголошено у експертно-технічній довідці директорки галузевого експертно-технічного Центру в нафтогазовій галузі (ДП «Центр сертифікації») Кисельовим В. І.","{'директором': 'JOB', 'директора': 'JOB'}",Містить помилки,"Нормативною підставою перезатвердження технічних та економічних показників відносно початкового проекту в установленому порядку, є позитивний експертний звіт по відкоригованому робочому проекту «Газопровід-відвід до м. Снігурівка», затверджений директоркою філії ДП «Укрдержбудекспертиза» у Миколаївській області Васильєвою Т. І. Сутність існування умов, та відповідно рекомендації, що договір може бути укладеним з попереднім виконавцем цих робіт – ПАТ «Спеціалізоване монтажне управління № 24», якщо роботи технічно чи економічно пов'язані з головним договором, наголошено у експертно-технічній довідці директорки галузевого експертно-технічного Центру в нафтогазовій галузі (ДП «Центр сертифікації») Кисельовою В. І.",
ПФ «Діта» належить екс-депутату Хмельницької міськради Михайлу Кіперману.,ПФ «Діта» належить екс-депутатці Хмельницької міськради Ніні Кіперман.,"{'екс-депутату': 'JOB', 'Михайлу Кіперману': 'PERS'}",Правильне,,
"Заснована фірма у 1995 році, на сьогодні керівником значиться Артем Мацьков.","Заснована фірма у 1995 році, на сьогодні керівницею значиться Ірина Мацькова.","{'керівником': 'JOB', 'Артем Мацьков': 'PERS'}",Правильне,,
"25 жовтня суд надав слідчим доступ до договорів, актів виконаних робіт, платіжних доручень, що стали підставами для проведення ДП «Дирекція по будівництву об'єктів» впродовж 2015-2016 рр фінансових операцій з бюджетними коштами, передбаченими для закупівлі гірничо-шахтного обладнання та будівництва шахти №10 «Нововолинська» ДП «Волиньвугілля».","25 жовтня суд надав слідчим доступ до договорів, актів виконаних робіт, платіжних доручень, що стали підставами для проведення ДП «Дирекція по будівництву об'єктів» впродовж 2015-2016 рр фінансових операцій з бюджетними коштами, передбаченими для закупівлі гірничо-шахтного обладнання та будівництва шахти №10 «Нововолинська» ДП «Волиньвугілля».",{'слідчим': 'JOB'},Правильне,,Сніжанна Б
З вересня 2015 року т. в. о. директора ДП «Дирекція по будівництву об'єктів» є Роман Надолинний.,З вересня 2015 року т. в. о. директорки ДП «Дирекція по будівництву об'єктів» є Романна Надолинна.,"{'т. в. о. директора': 'JOB', 'Роман Надолинний': 'PERS'}",Правильне,,
Держпідприємством тоді керував Юрій Зюков – радник міністра енергетики та вугільної промисловості Ігоря Насалика.,Держпідприємством тоді керувала Вікторія Зюкова – радниця міністра енергетики та вугільної промисловості Ігоря Насалика.,"{'Юрій Зюков': 'PERS', 'радник міністра': 'JOB', 'Ігоря Насалика': 'PERS'}",Містить помилки,Держпідприємством тоді керувала Вікторія Зюкова – радниця міністерки енергетики та вугільної промисловості Ілони Насалик.,
"Інформаційна система для МінАПП має включати в себе систему уніфікованого електронного документообігу з використанням електронного цифрового підпису, робочі місця керівників різних рівнів, веб-портал, відео-телекомунікаційну систему засідань, тощо.","Інформаційна система для МінАПП має включати в себе систему уніфікованого електронного документообігу з використанням електронного цифрового підпису, робочі місця керівниць різних рівнів, веб-портал, відео-телекомунікаційну систему засідань, тощо.",{'керівників': 'JOB'},Правильне,,
Ця фірма з березня 2011 року має засновниками мешканця смт Андріївка Харківської обл. Андрія Ігнатова і росіянина Євгена Колугу.,Ця фірма з березня 2011 року має засновницями мешканки смт Андріївка Харківської обл. Раїси Ігнатової і росіянки Юрія Колугу.,"{'засновниками': 'JOB', 'Андрія Ігнатова': 'PERS', 'Євгена Колугу': 'PERS', 'Ігнатова': 'PERS'}",Містить помилки,Ця фірма з березня 2011 року має засновницями мешканку смт Андріївка Харківської обл. Раїсу Ігнатову і росіянку Юлію Колугу.,
Євген Колуга у 90-х роках був президентом «Сибирского Торгового Банка».,Жанна Колуга у 90-х роках була президенткою «Сибирского Торгового Банка».,"{'Євген Колуга': 'PERS', 'президентом': 'JOB'}",Правильне,,
"Наприкінці 2010 року в інтернеті було розміщено резюме Колуги у пошуках роботи в Україні на посаді генерального директора фірми, пов'язаної з платіжними системами.","Наприкінці 2010 року в інтернеті було розміщено резюме Ольги у пошуках роботи в Україні на посаді генеральної директорки фірми, пов'язаної з платіжними системами.","{'Колуги': 'PERS', 'генерального директора': 'JOB'}",Містить помилки,"Наприкінці 2010 року в інтернеті було розміщено резюме Колуги у пошуках роботи в Україні на посаді генеральної директорки фірми, пов'язаної з платіжними системами.",
Засновниками «Електронного світу України» до переєстрації на фірму Колуги і Ігнатова були п'ять фізичних осіб.,Засновницями «Електронного світу України» до переєстрації на фірму Колугина і Ігнатової були п'ять фізичних осіб.,"{'Колуги': 'PERS', 'Засновниками': 'JOB', 'Ігнатова': 'PERS'}",Містить помилки,Засновницями «Електронного світу України» до переєстрації на фірму Колуги і Ігнатова були п'ять фізичних осіб.,
"За даними ЗМІ, за часів уряду Юлії Тимошенко в 2009 році ця фірма приймала участь в схемі монополізації ринку електронної звітності, яку пов'язували з ім'ям народного депутата Антона Яценко, «хрещеного батька» Тендерної палати України.","За даними ЗМІ, за часів уряду Юлії Тимошенко в 2009 році ця фірма приймала участь в схемі монополізації ринку електронної звітності, яку пов'язували з ім'ям народної депутатки Ольги Яценко, «хрещеної матері» Тендерної палати України.","{'Юлії Тимошенко': 'PERS', 'народного депутата': 'JOB', 'Антона Яценко': 'PERS'}",Правильне,,
Родичі колишнього народного депутата з фракції Партії регіонів Олексія Журавка проводить незаконне будівництво в прибережній зоні річки Конка в Цюрупинську Херсонської області.,Родичі колишньої народної депутатки з фракції Партії регіонів Любові Журавок проводить незаконне будівництво в прибережній зоні річки Конка в Цюрупинську Херсонської області.,"{'народного депутата': 'JOB', 'Олексія Журавка': 'PERS'}",Містить помилки,Родичі колишньої народної депутатки з фракції Партії регіонів Любові Журавок проводять незаконне будівництво в прибережній зоні річки Конка в Цюрупинську Херсонської області.,Олеся Д.
"В ході перевірки екологи встановили, що розпорядженням голови Цюрюпинської РДА дружина Журавко Анжела та його тесть Юрій Сокол отримали дозволи на розробку детальних планів територій земельних ділянок на умовах оренди.","В ході перевірки екологині встановили, що розпорядженням голови Цюрюпинської РДА чоловік Журавко Микола та її теща Юлія Сокол отримали дозволи на розробку детальних планів територій земельних ділянок на умовах оренди.","{'екологи': 'JOB', 'голови': 'JOB', 'Журавко': 'PERS', 'Анжела': 'PERS', 'Юрій Сокол': 'PERS', 'Сокол': 'PERS'}",Містить помилки,"В ході перевірки екологині встановили, що розпорядженням голови Цюрюпинської РДА чоловік Журавко Микола та її свекор Юрій Сокол отримали дозволи на розробку детальних планів територій земельних ділянок на умовах оренди.",
"Екологи встановили, що дві ділянки були огороджена спільним бетонним парканом, який досяг прибережної захисної смуги річки.","Екологині встановили, що дві ділянки були огороджені спільним бетонним парканом, який досяг прибережної захисної смуги річки.",{'Екологи': 'JOB'},Правильне,,
"Нагадаємо, Олексій Журавко був народним депутатом V - VI скликання у 2006-2012 рр. від Партії регіонів.","Нагадаємо, Людмила Журавко була народною депутаткою V - VI скликання у 2006-2012 рр. від Партії регіонів.","{'Журавко': 'PERS', 'Олексій Журавко': 'PERS', 'народним депутатом': 'JOB'}",Правильне,,
"На початку року в ЗМІ з'явилися фото, на яких екс-депутат в Москві приймає участь в мітингу руху «Антимайдан».","На початку року в ЗМІ з'явилися фото, на яких екс-депутатка в Москві приймає участь в мітингу руху «Антимайдан».",{'екс-депутат': 'JOB'},Правильне,,
"Апеляційний суд Києва 8 травня скасував ухвалу Печерського районного суду, якою відсторонили від посади начальника відділу податків і зборів з юридичних осіб ДПІ у Деснянському районі ГУ ДФС у м. Києві Лесю Мусаєву.","Апеляційний суд Києва 8 травня скасував ухвалу Печерського районного суду, якою відсторонили від посади начальниці відділу податків і зборів з юридичних осіб ДПІ у Деснянському районі ГУ ДФС у м. Києві Віталія Мусаєва.","{'начальника відділу податків і зборів з юридичних осіб': 'JOB', 'Лесю Мусаєву': 'PERS', 'Мусаєву': 'PERS'}",Містить помилки,"Апеляційний суд Києва 8 травня скасував ухвалу Печерського районного суду, якою відсторонили від посади начальницю відділу податків і зборів з юридичних осіб ДПІ у Деснянському районі ГУ ДФС у м. Києві Лесю Мусаєву.",
З червня 2017 року жінка виконувала обов'язки заступника начальника ДПІ Деснянського району Києва.,З червня 2017 року чоловік виконував обов'язки заступника начальника ДПІ Деснянського району Києва.,{'заступника начальника': 'JOB'},Правильне,,
"За версією правоохоронців, до чиновниці звернувся представник ФОПа, який хотів зареєструватися платником єдиного податку заднім числом і отримати довідки.","За версією правоохоронців, до чиновника звернувся представник ФОПа, який хотів зареєструватися платником єдиного податку заднім числом і отримати довідки.","{'правоохоронців': 'JOB', 'чиновниці': 'JOB'}",Містить помилки,"За версією правоохоронниць, до чиновника звернувся представник ФОПа, який хотів зареєструватися платником єдиного податку заднім числом і отримати довідки.",
Податківка озвучила прайс – $100 за довідку та 5 тис. грн за переведення на єдиний податок заднім числом.,Податківець озвучив прайс – $100 за довідку та 5 тис. грн за переведення на єдиний податок заднім числом.,{'Податківка': 'JOB'},Правильне,,
Правоохоронці просили суд тримати підозрювану під вартою.,Правоохоронниці просили суд тримати підозрюваного під вартою.,{'Правоохоронці': 'JOB'},Правильне,,
"4 квітня Печерський райсуд відсторонив жінку від посади до 1 червня, врахувавши, що податківка може знищити чи підробити документи та впливати на свідків.","4 квітня Печерський райсуд відсторонив чоловіка від посади до 1 червня, врахувавши, що податківець може знищити чи підробити документи та впливати на свідків.",{'податківка': 'JOB'},Правильне,,Оля Н.
"Згідно даних реєстру громадських організацій, засновниками цієї ГО є Руслан Мусаєв, Андрій Давиденко та депутат Київради Андрій Задерейко.","Згідно даних реєстру громадських організацій, засновницями цієї ГО є Тетяна Мусаєва, Надія Давиденко та депутатка Київради Сергія Задерейка.","{'Руслан Мусаєв': 'PERS', 'засновниками': 'JOB', 'Андрій Давиденко': 'PERS', 'депутат': 'JOB', 'Андрій Задерейко': 'PERS', 'Задерейко': 'PERS'}",Містить помилки,"Згідно даних реєстру громадських організацій, засновницями цієї ГО є Тетяна Мусаєва, Надія Давиденко та депутатка Київради Анастасія Задерейка.",
"Нагадаємо, у квітні гендиректор ДТЕК Максим Тимченко в інтерв'ю «Дзеркалу тижня» повідомив, що ці облігації скуповувала інвесткомпанія ICU.","Нагадаємо, у квітні гендиректорка ДТЕК Ольга Тимченко в інтерв'ю «Дзеркалу тижня» повідомила, що ці облігації скуповувала інвесткомпанія ICU.","{'гендиректор': 'JOB', 'Максим Тимченко': 'PERS', 'Тимченко': 'PERS'}",Правильне,,
Після його обрання президентом України у 2014 році співвласники фірми отримали призначення у владу.,Після її обрання президенткою України у 2014 році співвласники фірми отримали призначення у владу.,{'президентом': 'JOB'},Правильне,,
"Валерія Гонтарєва стала головою Нацбанку, Володимир Демчишин очолив НКРЕКП.","Юрій Гонтарєв став головою Нацбанку, Володимир Демчишин очолив НКРЕКП.","{'Валерія Гонтарєва': 'PERS', 'головою': 'JOB', 'Володимир Демчишин': 'PERS', 'Демчишин': 'PERS'}",Правильне,,
"У НКРЕКП його змінив Дмитро Вовк, який безпосередньо перед призначенням працював у московському офісі «Рошену», а ще раніше був помічником віце-президента ICU Гонтарєвої.","У НКРЕКП її змінила Ольга Вовк, яка безпосередньо перед призначенням працювала у московському офісі «Рошену», а ще раніше була помічницею віце-президента ICU Гонтарєвої.","{'Дмитро Вовк': 'PERS', 'віце-президента': 'JOB', 'ICU Гонтарєвої': 'PERS'}",Правильне,,
"Петро Порошенко став президентом, декларуючи боротьбу з олігархами, у тому числі з монополізмом Ріната Ахметова у енергосекторі.","Марина Порошенко стала президенткою, декларуючи боротьбу з олігархами, у тому числі з монополізмом Рінати Ахметової у енергосекторі.","{'Ріната Ахметова': 'PERS', 'президентом': 'JOB', 'Петро Порошенко': 'PERS'}",Містить помилки,"Марина Порошенко стала президенткою, декларуючи боротьбу з олігархами, у тому числі з монополізмом Ріната Ахметова у енергосекторі.",
"Засновниками луцького СП «Західна Нафтова Група» є народний депутат (у лютому цього року увійшов до групи «Суверенна європейська Україна») Степан Івахів (48,99%), компанія «Брекон Сервісес Лімітед» (Віргінські острови) і ТОВ «Спецпроект-Перспектива», засновниками якого є Антон Бугайов і Людмила Литвинюк.","Засновницями луцького СП «Західна Нафтова Група» є народна депутатка (у лютому цього року увійшла до групи «Суверенна європейська Україна») Марія Івахів (48,99%), компанія «Брекон Сервісес Лімітед» (Віргінські острови) і ТОВ «Спецпроект-Перспектива», засновниками якого є Олег Бугайов і Людмила Литвинюк.","{'Засновниками': 'JOB', 'народний депутат': 'JOB', 'Степан Івахів': 'PERS', 'засновниками': 'JOB', 'Антон Бугайов': 'PERS', 'Людмила Литвинюк': 'PERS', 'Івахів': 'PERS'}",Містить помилки,"Засновницями луцького СП «Західна Нафтова Група» є народна депутатка (у лютому цього року увійшла до групи «Суверенна європейська Україна») Марія Івахів (48,99%), компанія «Брекон Сервісес Лімітед» (Віргінські острови) і ТОВ «Спецпроект-Перспектива», засновницями якого є Ольга Бугайова і Людмила Литвинюк.",
"Степан Івахів є співвласником групи «Континіум», лідером якої є нардеп Ігор Єрємєєв.","Марія Івахів є співвласницею групи «Континіум», лідером якої є нардеп Ірина Єрємєєва.","{'Степан Івахів': 'PERS', 'нардеп': 'JOB', 'Ігор Єрємєєв': 'PERS', 'Івахів': 'PERS'}",Містить помилки,"Марія Івахів є співвласницею групи «Континіум», лідером якої є нардеп Ігор Єрємєєв.",
"* Засновником і директором ТОВ «Будівельна компанія «Капіталбуд» значиться Усман Кадиров з Узбекистану, в 2015 році фірма належала Ігорю Килименку.","* Засновницею і директоркою ТОВ «Будівельна компанія «Капіталбуд» значиться Ольга Кадирова з Узбекистану, в 2015 році фірма належала Ірині Килименко.","{'Засновником': 'JOB', 'директором': 'JOB', 'Усман Кадиров': 'PERS', 'Ігорю Килименку': 'PERS'}",Містить помилки,"* Засновницею і директоркою ТОВ «Будівельна компанія «Капіталбуд» значиться Ольга Кадирова з Узбекистану, в 2015 році фірма належала Ігорю Килименку.",
* Засновниками ТОВ «Лідер Сервіс Плюс» є Юлія Лазебна з Києва і Борислав Савчук з Чернівецької області.,* Засновницями ТОВ «Лідер Сервіс Плюс» є Галина Лазебна з Києва і Борислав Савчук з Чернівецької області.,"{'Засновниками': 'JOB', 'Юлія Лазебна': 'PERS', 'Борислав Савчук': 'PERS'}",Містить помилки,* Засновницями ТОВ «Лідер Сервіс Плюс» є Юлія Лазебна з Києва і Ярослава Савчук з Чернівецької області.,Оля Н.
Директором фірми є Василь Федоришин.,Директоркою фірми є Вікторія Федоришина.,"{'Директором': 'JOB', 'Василь Федоришин': 'PERS'}",Містить помилки,Директоркою фірми є Вікторія Федоришин.,
* Засновниками ТОВ «Гідропро Інжиніринг» є Наталія Петрова і Кирило Щіпакін з Черкас.,* Засновницями ТОВ «Гідропро Інжиніринг» є Марія Петрова і Кирило Щіпакін з Черкас.,"{'Засновниками': 'JOB', 'Наталія Петрова': 'PERS', 'Кирило Щіпакін': 'PERS'}",Містить помилки,* Засновницями ТОВ «Гідропро Інжиніринг» є Наталія Петрова і Ватерина Щіпакіна з Черкас.,
"Останній є директором цієї фірми, статут якої становить 100 грн.","Остання є директоркою цієї фірми, статут якої становить 100 грн.",{'директором': 'JOB'},Правильне,,
* Засновниками ТОВ «Анпрайм – Збут» є Андрій Осауленко і Наталія Прокопенко з Києва.,* Засновницями ТОВ «Анпрайм – Збут» є Галина Осауленко і Юрій Прокопенко з Києва.,"{'Засновниками': 'JOB', 'Андрій Осауленко': 'PERS', 'Наталія Прокопенко': 'PERS'}",Містить помилки,* Засновницями ТОВ «Анпрайм – Збут» є Галина Осауленко і Наталія Прокопенко з Києва.,
"16 червня 2015 року суддя Корабельного райсуду Миколаєва Володимир Беспрозванний дійшов висновку, що земля в урочищі є державною, а не комунальною власністю, з 1966 року перебувала на балансі лісгоспу.","16 червня 2015 року суддя Корабельного райсуду Миколаєва Світлана Беспрозванна дійшла висновку, що земля в урочищі є державною, а не комунальною власністю, з 1966 року перебувала на балансі лісгоспу.","{'суддя': 'JOB', 'Володимир Беспрозванний': 'PERS'}",Правильне,,
"Олексій Пелипас – бізнесмен, був членом виконкому Миколаєва у 2011-2013 рр., друг сім'ї екс-мера Миколаєва Володимира Чайки.","Олександра Пелипас – бізнесменка, була членом виконкому Миколаєва у 2011-2013 рр., подруга сім'ї екс-мера Миколаєва Едуарда Чайки.","{'Пелипас': 'PERS', 'Олексій Пелипас': 'PERS', 'бізнесмен': 'JOB', 'екс-мера': 'JOB', 'Володимира Чайки': 'PERS'}",Містить помилки,"Олександра Пелипас – бізнесменка, була членкинею виконкому Миколаєва у 2011-2013 рр., подруга сім'ї екс-очільниці Миколаєва Марії Чайки.",
"Раніше журналісти повідомляли, що Пелипас отримав в особисту оренду шість ділянок загальною площею 1,2 га.","Раніше журналістки повідомляли, що Пелипас отримала в особисту оренду шість ділянок загальною площею 1,2 га.","{'Пелипас': 'PERS', 'журналісти': 'JOB'}",Містить помилки,"Раніше журналістки повідомляли, що Пелипас отримав в особисту оренду шість ділянок загальною площею 1,2 га.",
"Площа ж всієї землі, що за останні п'ять років була передана в оренду Пелипасу, а також його матері Інні Пелипас, дружині Тетяні Глонзе і бізнес-компаньйонам Владиславу Чайці (син екс-мера) і Станіславу Савіну в сумі склала близько 7,6 га.","Площа ж всієї землі, що за останні п'ять років була передана в оренду Пелипасі, а також її матері Марії Пелипас, чоловіку Сергію Глонзі і бізнес-компаньйонам Владиславу Чайці (дочка екс-мера) і Станіславу Савіну в сумі склала близько 7,6 га.","{'Інні Пелипас': 'PERS', 'Пелипас': 'PERS', 'екс-мера': 'JOB', 'Пелипасу': 'PERS', 'Тетяні Глонзе': 'PERS', 'Владиславу Чайці': 'PERS', 'Станіславу Савіну': 'PERS'}",Містить помилки,"Площа ж всієї землі, що за останні п'ять років була передана в оренду Пелипасу, а також його матері Інні Пелипас, дружині Тетяні Глонзе і бізнес-компаньйонам Владиславу Чайці (син екс-очільниці) і Станіславу Савіну в сумі склала близько 7,6 га.",
"Засновниками київського ТД «Украгропром» є кіпрська компанія «Мілтора Холдінгз Лімітед» (99,9%), ТОВ «Ейджджи Агро Менеджемент», а також Сергій Коржов і Олександр Пилипенко – колишній віце-президент корпорації «Індустріальна союз Донбасу».","Засновницями київського ТД «Украгропром» є кіпрська компанія «Мілтора Холдінгз Лімітед» (99,9%), ТОВ «Ейджджи Агро Менеджемент», а також Юлія Коржова і Микола Пилипенко – колишня віце-президентка корпорації «Індустріальна союз Донбасу».","{'Засновниками': 'JOB', 'Сергій Коржов': 'PERS', 'Олександр Пилипенко': 'PERS', 'віце-президент': 'JOB', 'Пилипенко': 'PERS'}",Містить помилки,"Засновницями київського ТД «Украгропром» є кіпрська компанія «Мілтора Холдінгз Лімітед» (99,9%), ТОВ «Ейджджи Агро Менеджемент», а також Юлія Коржова і Анастасія Пилипенко – колишня віце-президентка корпорації «Індустріальна союз Донбасу».",
"Пилипенко разом із іншим співзасновником «ІСД» – народним депутатом Сергієм Тарутою, є засновниками Благодійного фонду «Платар».","Пилипенко разом із іншою співзасновницею «ІСД» – народною депутаткою Катериною Тарутою, є засновницями Благодійного фонду «Платар».","{'Пилипенко': 'PERS', 'співзасновником': 'JOB', 'народним депутатом': 'JOB', 'Сергієм Тарутою': 'PERS', 'засновниками': 'JOB'}",Правильне,,Оля Н.
"Директором ТД «Украгропром» раніше була Тетяна Пляченко, яка входила до наглядової ради ПАТ «Українська гірничо-металургійна компанія».","Директоркою ТД «Украгропром» раніше був Анатолій Пляченко, який входив до наглядової ради ПАТ «Українська гірничо-металургійна компанія».","{'Директором': 'JOB', 'Тетяна Пляченко': 'PERS'}",Містить помилки,"Директоркою ТД «Украгропром» раніше була Тетяна Пляченко, яка входила до наглядової ради ПАТ «Українська гірничо-металургійна компанія».",
Нинішнім директором «Украгропрому» є Ігор Лісовський.,Нинішньою директоркою «Украгропрому» є Ірина Лісовська.,"{'директором': 'JOB', 'Ігор Лісовський': 'PERS'}",Правильне,,
"Одноосібним власником та керівником рівненського ТОВ «Партнер СВ» є Віталій Сухаревський, прописаний у місті Зимогір'я Луганської області.","Одноосібною власницею та керівницею рівненського ТОВ «Партнер СВ» є Ірина Сухаревська, прописана у місті Зимогір'я Луганської області.","{'керівником': 'JOB', 'Віталій Сухаревський': 'PERS'}",Правильне,,
"Відбудувати пам'ятку від футбольного клубу, який належить народному депутату від Партії регіонів Леоніду Клімову, вимагало Управління охорони об'єктів культурної спадщини Одеської облдержадміністрації.","Відбудувати пам'ятку від футбольного клубу, який належить народній депутатці від Партії регіонів Наталії Клімовій, вимагало Управління охорони об'єктів культурної спадщини Одеської облдержадміністрації.","{'народному депутату': 'JOB', 'Леоніду Клімову': 'PERS'}",Правильне,,
"Заступник прокурора Центрального регіону України з нагляду за додержанням законів у воєнній сфері у позовній заяві стверджує, що відчуження спірного нерухомого майна відбулося всупереч законодавству, оскільки процедура банкрутства в подальшому була визнана фіктивною.","Заступниця прокурора Центрального регіону України з нагляду за додержанням законів у воєнній сфері у позовній заяві стверджує, що відчуження спірного нерухомого майна відбулося всупереч законодавству, оскільки процедура банкрутства в подальшому була визнана фіктивною.","{'Заступник прокурора': 'JOB', 'прокурора': 'JOB'}",Містить помилки,"Заступниця прокурорки Центрального регіону України з нагляду за додержанням законів у воєнній сфері у позовній заяві стверджує, що відчуження спірного нерухомого майна відбулося всупереч законодавству, оскільки процедура банкрутства в подальшому була визнана фіктивною.",
Однак суд визнав твердження прокурора необґрунтованими і в позові відмовив.,Однак суд визнав твердження прокурорки необґрунтованими і в позові відмовив.,{'прокурора': 'JOB'},Правильне,,
"НВП «Параллакс» володіють Анелія Вадзінська і Володимир Казадой, керівник ДП «Спеціалізована зовнішньоторговельна фірма «Укроборонекспорт».","НВП «Параллакс» володіють Євгенія Вадзінська і Олександр Казадой, керівниця ДП «Спеціалізована зовнішньоторговельна фірма «Укроборонекспорт».","{'Анелія Вадзінська': 'PERS', 'Володимир Казадой': 'PERS', 'керівник': 'JOB', 'Казадой': 'PERS'}",Містить помилки,"НВП «Параллакс» володіють Анелія Вадзінська і Марія Казадой, керівниця ДП «Спеціалізована зовнішньоторговельна фірма «Укроборонекспорт».",
